course,degree_program,heard_tv,heard_social_media,heard_radio,heard_other,heard_in_app_ad,heard_home_mailer,heard_hs_teacher,heard_hs_counselor,heard_family_friend,heard_employer,heard_ccm_student,heard_community_event,heard_ccm_website,heard_ccm_alumni,heard_billboard,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement,gender,age,major
CMP 131 Fundamentals of Programming (Python),computer science and digital media technology,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Man,35-64,Computer Science And Digital Media Technology
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Woman,18 and younger,Information Technology
CMP 131 Fundamentals of Programming (Python),Non Degree seeking,No,No,No,No,No,No,No,Yes,No,No,Don't recall,No,Don't recall,No,No,,,,,,,,,,,,,Woman,18 and younger,temporary students
CMP 131 Fundamentals of Programming (Python),Computer Science,No,Don't recall,No,Yes,No,Don't recall,Yes,Yes,Don't recall,No,Don't recall,No,Don't recall,Don't recall,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Man,18 and younger,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,25-34,Information Technology
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,Don't recall,No,No,Don't recall,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Morris Tech,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,,,,,,,,,,,,,Man,18 and younger,Morris Tech
CMP 131 Fundamentals of Programming (Python),Information Security Certificate of Achievement,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Man,21-24,Information Security Certificate Of Achievement
CMP 131 Fundamentals of Programming (Python),Undecided,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,Man,18 and younger,Undecided
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Man,18 and younger,Information Technology
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Man,18 and younger,data science
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,No,Yes,No,Don't recall,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,18 and younger,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Man,19-20,Information Technology
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,Don't recall,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Don't recall,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Man,18 and younger,data science
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,21-24,Information Technology
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Non Degree seeking,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,,,,,,,,,,,,,Non-binary,18 and younger,temporary students
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Woman,25-34,Computer Science
CMP 128 Computer Science I,Information Technology,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Man,25-34,Information Technology
CMP 128 Computer Science I,Computer Science,No,No,No,Don't recall,No,Don't recall,No,No,Yes,No,Yes,Don't recall,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Man,35-64,Computer Science
CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,No,Don't recall,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Woman,19-20,Computer Science
CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Man,21-24,Digital Media Technology
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,19-20,Information Technology
CMP 128 Computer Science I,Engineering ,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,Woman,18 and younger,engineering
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,Don't recall,No,No,Don't recall,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Man,19-20,Information Technology
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Man,18 and younger,Information Technology
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Woman,21-24,Information Technology
CMP 128 Computer Science I,EDAM,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,Man,18 and younger,engineering
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Man,18 and younger,Information Technology
CMP 239 Internet & Web Page Design,Computer Science,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Man,19-20,Computer Science
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Man,19-20,Computer Science
CMP 128 Computer Science I,Mechanical Engineering,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,Man,25-34,engineering
CMP 128 Computer Science I,Culinary Arts and Science,No,Yes,No,Don't recall,No,Yes,Yes,Yes,No,No,Yes,No,Don't recall,No,No,,,,,,,,,,,,,Woman,19-20,Culinary Arts And Science
CMP 128 Computer Science I,Computer Science,No,Don't recall,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Don't recall,Yes,Don't recall,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,21-24,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Woman,18 and younger,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Information Security Certificate of Achievement,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Man,25-34,Information Security Certificate Of Achievement
CMP 128 Computer Science I,CIS Game Development Option,No,Yes,No,Don't recall,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,18 and younger,game development
CMP 128 Computer Science I,mechanical engineering tech. ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Man,19-20,engineering
CMP 128 Computer Science I,I am a Highschool student and decided to take the course since it was offered to me. ,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,Man,18 and younger,temporary students
CMP 128 Computer Science I,Computer Science,No,No,No,Don't recall,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Man,25-34,Computer Science
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,18 and younger,Computer Science
CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Man,18 and younger,"Technical Studies, Applied Associate Of Science"
CMP 128 Computer Science I,Computer Science- Data Science,Don't recall,No,No,Yes,No,Yes,Don't recall,Yes,Yes,No,No,No,Don't recall,Yes,Don't recall,,,,,,,,,,,,,Man,19-20,data science
CMP 128 Computer Science I,mechanical engineering ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,Man,19-20,engineering
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Non-binary,18 and younger,Computer Science
CMP 128 Computer Science I,Electrical Engineer,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,,,,,,,,,,,,,Man,19-20,Electrical Engineer
CMP 120 Foundations of Information Security,Information Technology,No,No,No,Don't recall,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,21-24,Computer Science
CMP 120 Foundations of Information Security,Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 120 Foundations of Information Security,Non Degree seeking,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,,,,,,,,,,Man,19-20,temporary students
CMP 120 Foundations of Information Security,Non Degree seeking,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,Man,18 and younger,temporary students
CMP 120 Foundations of Information Security,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Man,21-24,Computer Science
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,21-24,Computer Science
CMP 120 Foundations of Information Security,Undecided,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Man,19-20,Undecided
CMP 120 Foundations of Information Security,Undecided,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Man,35-64,Undecided
CMP 120 Foundations of Information Security,Information Technology,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Prefer not to say,35-64,Information Technology
CMP 131 Fundamentals of Programming (Python),"Technical Studies, Applied Associate of Science",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,21-24,"Technical Studies, Applied Associate Of Science"
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,19-20,Computer Science
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Man,25-34,Information Technology
CMP 130 Intro to IT,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Man,19-20,Computer Science
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Man,18 and younger,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Man,19-20,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,Don't recall,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Man,19-20,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Man,21-24,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Man,35-64,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Man,21-24,Information Technology
CMP 130 Intro to IT,Information Technology,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Man,35-64,Information Technology
CMP 130 Intro to IT,Computer Science,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Woman,19-20,Computer Science
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Man,18 and younger,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Man,18 and younger,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Man,18 and younger,Information Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Man,18 and younger,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Man,25-34,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Man,25-34,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,Don't recall,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Non-binary,21-24,Information Technology
CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Woman,25-34,Information Security Certificate Of Achievement
CMP 120 Foundations of Information Security,Information Technology,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Woman,19-20,Information Technology
CMP 120 Foundations of Information Security,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Man,19-20,Computer Science
CMP 120 Foundations of Information Security,CIS Game Development Option,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,18 and younger,game development
CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Man,21-24,Information Security Certificate Of Achievement
CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,21-24,Information Security Certificate Of Achievement
CMP 120 Foundations of Information Security,Information Technology,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Information Technology and Information Security Certificate of Achievement,No,Don't recall,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Don't recall,No,,,,,,,,,,,,,Man,19-20,Information Technology And Information Security Certificate Of Achievement
CMP 120 Foundations of Information Security,Computer Science,Don't recall,Yes,No,Don't recall,No,Yes,Don't recall,No,Yes,No,No,Don't recall,Don't recall,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,25-34,Computer Science
CMP 120 Foundations of Information Security,Information Technology,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,No,Don't recall,No,No,Don't recall,Don't recall,Don't recall,No,No,No,No,Don't recall,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,21-24,Information Security Certificate Of Achievement
CMP 120 Foundations of Information Security,Information Technology,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Man,19-20,Information Technology
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Man,19-20,Computer Science
CMP 120 Foundations of Information Security,CIS Game Development Option,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,18 and younger,game development
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Man,19-20,Information Technology
CMP 128 Computer Science I,Information Technology,No,No,No,Yes,No,No,Don't recall,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Man,18 and younger,Information Technology
CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,Don't recall,No,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Man,19-20,Computer Science
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,No,Yes,No,No,Don't recall,Don't recall,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Man,21-24,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 128 Computer Science I,Business Administration,No,Yes,No,Don't recall,Don't recall,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,Man,21-24,Business Administration
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Man,19-20,Computer Science
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,21-24,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,Don't recall,Yes,Yes,No,No,Don't recall,No,Don't recall,Don't recall,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Man,19-20,Computer Science
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Man,18 and younger,game development
CMP 130 Intro to IT,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,Non-binary,65+,Computer Science
CMP 128 Computer Science I,Computer Science,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,Don't recall,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,25-34,Computer Science
CMP 128 Computer Science I,Mechanical engineering ,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,Man,19-20,engineering
CMP 128 Computer Science I,Biology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Man,25-34,Biology
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Woman,18 and younger,Computer Science
CMP 120 Foundations of Information Security,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
